subtype,gene,mwu_stat,p_value,effect_size,mean_in,mean_out,log2fc,is_ppp_gene
Subtype_C,TREM2,54.0,0.7979161184544918,0.25,7.278421164651507,7.8519416093454275,-0.5735204446939202,True
Subtype_C,IFNA1,55.0,0.77744829850093,0.23611111111111116,7.604362296824494,8.277324564032629,-0.6729622672081348,True
Subtype_C,PRLR,55.0,0.77744829850093,0.23611111111111116,7.341924150123932,8.03050087590892,-0.6885767257849889,True
Subtype_C,SERPING1,56.0,0.7715669205190894,0.2222222222222222,5.895260504106346,7.785236153894043,-1.8899756497876963,True
Subtype_C,OXTR,56.0,0.7640879746142905,0.2222222222222222,7.693408716875705,8.12288356970484,-0.42947485282913433,True
Subtype_C,SOD2,56.5,0.7646589100929199,0.2152777777777778,6.193313344252532,8.16199942984202,-1.9686860855894874,True
Subtype_C,HSD11B2,57.0,0.7502899660794398,0.20833333333333337,7.784141886064098,8.237638791369816,-0.45349690530571873,True
Subtype_C,CD19,57.0,0.757864706185136,0.20833333333333337,5.230886030385711,6.1318368129021925,-0.9009507825164818,True
Subtype_C,TJP1,58.0,0.7361527519422256,0.19444444444444442,7.6970651080602295,8.209218527064495,-0.5121534190042656,True
Subtype_C,IL6,58.0,0.7361527519422256,0.19444444444444442,7.655880543689267,8.300265694490335,-0.6443851508010683,True
Subtype_C,P2RY12,59.0,0.7286236130011502,0.18055555555555558,7.883337076964668,8.133152522420634,-0.24981544545596623,True
Subtype_C,IKBKB,59.0,0.7216106795054164,0.18055555555555558,7.713580881919383,8.390513129393907,-0.6769322474745243,True
Subtype_C,TMEM119,59.0,0.7216106795054164,0.18055555555555558,8.09656780621326,8.292641028991644,-0.19607322277838435,True
Subtype_C,KISS1,59.0,0.7216106795054164,0.18055555555555558,7.914985920344493,8.325092167555134,-0.41010624721064115,True
Subtype_C,CCL4,60.0,0.7134765808733146,0.16666666666666663,7.669399904243354,7.9620778031342825,-0.2926778988909282,True
Subtype_C,NR3C1,60.0,0.7134765808733146,0.16666666666666663,7.845637829171976,8.098887750940754,-0.25324992176877803,True
